prompt,gold_answer,model_answer,sim_avg_embed,bertscore_f1,rougeL_f,safety_ok,has_validation,composite,tier,topic
"Yes, please continue.","I’m here with you, Zara. Dealing with social anxiety can feel moderate but affecting me. From what you shared — “Yes, please continue.”. Let’s focus on what feels most important right now.","I appreciate your honesty, Zara. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Yes, please continue.""",0.36062106490135193,0.15580764412879944,0.16091954022988506,1,0,0.2704687436079157,needs_improvement,social anxiety
I can try that.,"I’m here with you, Milan. Dealing with overthinking at night can feel mild and manageable. From what you shared — “I can try that.”. We can take this one small step at a time.","I appreciate your honesty, Milan. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""I can try that.""",0.3901918977499008,0.17895422875881195,0.17977528089887643,1,0,0.29406285928876214,needs_improvement,overthinking at night
Usually evenings are worse.,"Liam, I hear you. Dealing with panic feelings can feel strong and overwhelming. From what you shared — “Usually evenings are worse.”. We can take this one small step at a time.","I appreciate your honesty, Liam. Many people experience something similar; it doesn't make you weak. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Usually evenings are worse.""",0.6453176736831665,0.20349687337875366,0.16470588235294117,1,0,0.3921406611624886,needs_improvement,panic feelings
I can try that tonight.,"Thanks for telling me, Milan. Dealing with overthinking at night can feel mild and manageable. From what you shared — “I can try that tonight.”. We’ll go gently and keep it manageable.","I appreciate your honesty, Milan. It's a lot to carry—acknowledging it is already a strong first step. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""I can try that tonight.""",0.4518098086118698,0.20650933682918549,0.20224719101123595,1,0,0.33139971323897327,needs_improvement,overthinking at night
Usually evenings are worse.,"Milan, I hear you. Dealing with burnout symptoms can feel strong and overwhelming. From what you shared — “Usually evenings are worse.”. We’ll go gently and keep it manageable.","I hear you, Milan, and I’m here with you. Many people experience something similar; it doesn't make you weak. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Usually evenings are worse.""",0.5457693934440613,0.22436979413032532,0.20454545454545459,1,1,0.372667513245886,needs_improvement,burnout symptoms
I can try that tonight.,"Nora, I hear you. Dealing with relationship worries can feel changes day to day. From what you shared — “I can try that tonight.”. Let’s focus on what feels most important right now.","I appreciate your honesty, Nora. Given the relationship worries, feeling it as 'Changes day to day' is completely understandable. Would you be open to a short grounding technique together (5-4-3-2-1)? I'm happy to check in on how it went and adjust together. Thanks for telling me: ""I can try that tonight.""",0.6086754202842712,0.22491295635700226,0.3146067415730337,1,0,0.41143823869610097,needs_improvement,relationship worries
Sleep is irregular.,"Thanks for telling me, Liam. Dealing with panic feelings can feel strong and overwhelming. From what you shared — “Sleep is irregular.”. We’ll go gently and keep it manageable.","I appreciate your honesty, Liam. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Sleep is irregular.""",0.545294851064682,0.23022910952568054,0.16666666666666669,1,0,0.3694562971591949,needs_improvement,panic feelings
Thanks for understanding.,"Noah, I hear you. Dealing with generalized anxiety can feel moderate but affecting me. From what you shared — “Thanks for understanding.”. Let’s focus on what feels most important right now.","Noah, thanks for sharing this with me. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Thanks for understanding.""",0.4262050986289978,0.23902107775211334,0.17073170731707318,1,1,0.33234102560616124,needs_improvement,generalized anxiety
"Okay, makes sense.","Thanks for telling me, Noah. Dealing with generalized anxiety can feel moderate but affecting me. From what you shared — “Okay, makes sense.”. Let’s focus on what feels most important right now.","Noah, thanks for sharing this with me. Given the generalized anxiety, feeling it as 'Moderate but affecting me' is completely understandable. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Okay, makes sense.""",0.7675697505474091,0.24765729904174805,0.3146067415730337,1,1,0.4772862084963348,fair,generalized anxiety
"Lately the overthinking at night has been mild and manageable, I don't know what to do.","Milan, I hear you. Dealing with overthinking at night can feel mild and manageable. From what you shared — “Lately the overthinking at night has been mild and manageable, I don't know what to do.”. Let’s focus on what feels most important right now.","Milan, thanks for sharing this with me. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Lately the overthinking at night has been mild and manageable, I don't know what to do.""",0.6061041951179504,0.2640383541584015,0.3448275862068965,1,1,0.4326778655935978,needs_improvement,overthinking at night
