prompt,gold_answer,model_answer,sim_avg_embed,bertscore_f1,rougeL_f,safety_ok,has_validation,composite,tier,topic
"Lately the stress at work has been moderate but affecting me, I don't know what to do.","I’m here with you, Noah. Dealing with stress at work can feel moderate but affecting me. From what you shared — “Lately the stress at work has been moderate but affecting me, I don't know what to do.”. We can take this one small step at a time.","I hear you, Noah, and I’m here with you. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Lately the stress at work has been moderate but affecting me, I don't know what to do.""",0.7820928692817688,0.4522641599178314,0.4273504273504274,1,1,0.5913539403142074,excellent,stress at work
"My burnout symptoms is getting tough, some days it's strong and overwhelming.","I’m here with you, Milan. Dealing with burnout symptoms can feel strong and overwhelming. From what you shared — “My burnout symptoms is getting tough, some days it's strong and overwhelming.”. We can take this one small step at a time.","I hear you, Milan, and I’m here with you. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""My burnout symptoms is getting tough, some days it's strong and overwhelming.""",0.8067087233066559,0.42331865429878235,0.3619047619047619,1,1,0.5771271618774959,excellent,burnout symptoms
"Lately the relationship worries has been changes day to day, I don't know what to do.","I’m here with you, Nora. Dealing with relationship worries can feel changes day to day. From what you shared — “Lately the relationship worries has been changes day to day, I don't know what to do.”. We can take this one small step at a time.","I appreciate your honesty, Nora. It's a lot to carry—acknowledging it is already a strong first step. Let’s name one small, doable step you could take this week. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Lately the relationship worries has been changes day to day, I don't know what to do.""",0.7887178063392639,0.388928085565567,0.375,1,0,0.5573188707232476,good,relationship worries
I've been dealing with generalized anxiety for a while. It's moderate but affecting me.,"Noah, I hear you. Dealing with generalized anxiety can feel moderate but affecting me. From what you shared — “I've been dealing with generalized anxiety for a while. It's moderate but affecting me.”. Let’s focus on what feels most important right now.","I hear you, Noah, and I’m here with you. Given the generalized anxiety, feeling it as 'Moderate but affecting me' is completely understandable. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""I've been dealing with generalized anxiety for a while. It's moderate but affecting me.""",0.8336228132247925,0.35868895053863525,0.47863247863247854,1,1,0.5749728841659351,good,generalized anxiety
"My panic feelings is getting tough, some days it's strong and overwhelming.","Liam, I hear you. Dealing with panic feelings can feel strong and overwhelming. From what you shared — “My panic feelings is getting tough, some days it's strong and overwhelming.”. We’ll go gently and keep it manageable.","I hear you, Liam, and I’m here with you. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""My panic feelings is getting tough, some days it's strong and overwhelming.""",0.7640171349048615,0.3320329785346985,0.35514018691588783,1,1,0.520091865594699,fair,panic feelings
Sleep is irregular.,"Emma, I hear you. Dealing with study pressure can feel mild and manageable. From what you shared — “Sleep is irregular.”. We can take this one small step at a time.","I appreciate your honesty, Emma. Given the study pressure, feeling it as 'Mild and manageable' is completely understandable. Let’s name one small, doable step you could take this week. If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Sleep is irregular.""",0.824203610420227,0.3237781822681427,0.29629629629629634,1,0,0.5286158901121881,good,study pressure
I've been dealing with social anxiety for a while. It's moderate but affecting me.,"I’m here with you, Zara. Dealing with social anxiety can feel moderate but affecting me. From what you shared — “I've been dealing with social anxiety for a while. It's moderate but affecting me.”. Let’s focus on what feels most important right now.","Zara, thanks for sharing this with me. Given the social anxiety, feeling it as 'Moderate but affecting me' is completely understandable. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""I've been dealing with social anxiety for a while. It's moderate but affecting me.""",0.7598749101161957,0.32066646218299866,0.43103448275862066,1,1,0.524911298936811,fair,social anxiety
Usually evenings are worse.,"Noah, I hear you. Dealing with stress at work can feel moderate but affecting me. From what you shared — “Usually evenings are worse.”. We can take this one small step at a time.","Noah, thanks for sharing this with me. Given the stress at work, feeling it as 'Moderate but affecting me' is completely understandable. Would you be open to a short grounding technique together (5-4-3-2-1)? If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Usually evenings are worse.""",0.8388064503669739,0.2823137938976288,0.3260869565217391,1,1,0.5195365083606347,fair,stress at work
"Yes, please continue.","Milan, I hear you. Dealing with burnout symptoms can feel strong and overwhelming. From what you shared — “Yes, please continue.”. We’ll go gently and keep it manageable.","I hear you, Milan, and I’m here with you. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""Yes, please continue.""",0.543728843331337,0.278862327337265,0.19753086419753085,1,1,0.3954227720973668,needs_improvement,burnout symptoms
"Lately the study pressure has been mild and manageable, I don't know what to do.","I’m here with you, Emma. Dealing with study pressure can feel mild and manageable. From what you shared — “Lately the study pressure has been mild and manageable, I don't know what to do.”. We can take this one small step at a time.","I appreciate your honesty, Emma. It's a lot to carry—acknowledging it is already a strong first step. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Lately the study pressure has been mild and manageable, I don't know what to do.""",0.7524441778659821,0.2660757601261139,0.35398230088495575,1,0,0.48618689944258825,fair,study pressure
