id,prompt,gold_answer,model_answer,topic,difficulty,sim_all-MiniLM-L6-v2,sim_all-mpnet-base-v2,sim_avg_embed
1,"My burnout symptoms is getting tough, some days it's strong and overwhelming.","I’m here with you, Milan. Dealing with burnout symptoms can feel strong and overwhelming. From what you shared — “My burnout symptoms is getting tough, some days it's strong and overwhelming.”. We can take this one small step at a time.","I hear you, Milan, and I’m here with you. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""My burnout symptoms is getting tough, some days it's strong and overwhelming.""",burnout symptoms,,0.8168683052062988,0.7965491414070129,0.8067087233066559
2,I've been dealing with generalized anxiety for a while. It's moderate but affecting me.,"Noah, I hear you. Dealing with generalized anxiety can feel moderate but affecting me. From what you shared — “I've been dealing with generalized anxiety for a while. It's moderate but affecting me.”. Let’s focus on what feels most important right now.","I hear you, Noah, and I’m here with you. Given the generalized anxiety, feeling it as 'Moderate but affecting me' is completely understandable. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""I've been dealing with generalized anxiety for a while. It's moderate but affecting me.""",generalized anxiety,,0.8371602296829224,0.8300853967666626,0.8336228132247925
3,"Lately the overthinking at night has been mild and manageable, I don't know what to do.","Milan, I hear you. Dealing with overthinking at night can feel mild and manageable. From what you shared — “Lately the overthinking at night has been mild and manageable, I don't know what to do.”. Let’s focus on what feels most important right now.","Milan, thanks for sharing this with me. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? If it helps, we can sketch a tiny plan for the next 48 hours. Thanks for telling me: ""Lately the overthinking at night has been mild and manageable, I don't know what to do.""",overthinking at night,,0.5654550790786743,0.6467533111572266,0.6061041951179504
4,"My panic feelings is getting tough, some days it's strong and overwhelming.","Liam, I hear you. Dealing with panic feelings can feel strong and overwhelming. From what you shared — “My panic feelings is getting tough, some days it's strong and overwhelming.”. We’ll go gently and keep it manageable.","I hear you, Liam, and I’m here with you. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""My panic feelings is getting tough, some days it's strong and overwhelming.""",panic feelings,,0.8126890659332275,0.7153452038764954,0.7640171349048615
5,"Lately the relationship worries has been changes day to day, I don't know what to do.","I’m here with you, Nora. Dealing with relationship worries can feel changes day to day. From what you shared — “Lately the relationship worries has been changes day to day, I don't know what to do.”. We can take this one small step at a time.","I appreciate your honesty, Nora. It's a lot to carry—acknowledging it is already a strong first step. Let’s name one small, doable step you could take this week. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Lately the relationship worries has been changes day to day, I don't know what to do.""",relationship worries,,0.7852600812911987,0.7921755313873291,0.7887178063392639
6,I've been dealing with social anxiety for a while. It's moderate but affecting me.,"I’m here with you, Zara. Dealing with social anxiety can feel moderate but affecting me. From what you shared — “I've been dealing with social anxiety for a while. It's moderate but affecting me.”. Let’s focus on what feels most important right now.","Zara, thanks for sharing this with me. Given the social anxiety, feeling it as 'Moderate but affecting me' is completely understandable. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""I've been dealing with social anxiety for a while. It's moderate but affecting me.""",social anxiety,,0.7653399109840393,0.754409909248352,0.7598749101161957
7,"Lately the stress at work has been moderate but affecting me, I don't know what to do.","I’m here with you, Noah. Dealing with stress at work can feel moderate but affecting me. From what you shared — “Lately the stress at work has been moderate but affecting me, I don't know what to do.”. We can take this one small step at a time.","I hear you, Noah, and I’m here with you. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Lately the stress at work has been moderate but affecting me, I don't know what to do.""",stress at work,,0.7787833213806152,0.7854024171829224,0.7820928692817688
8,"Lately the study pressure has been mild and manageable, I don't know what to do.","I’m here with you, Emma. Dealing with study pressure can feel mild and manageable. From what you shared — “Lately the study pressure has been mild and manageable, I don't know what to do.”. We can take this one small step at a time.","I appreciate your honesty, Emma. It's a lot to carry—acknowledging it is already a strong first step. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Lately the study pressure has been mild and manageable, I don't know what to do.""",study pressure,,0.7676763534545898,0.7372120022773743,0.7524441778659821
9,"Yes, please continue.","Milan, I hear you. Dealing with burnout symptoms can feel strong and overwhelming. From what you shared — “Yes, please continue.”. We’ll go gently and keep it manageable.","I hear you, Milan, and I’m here with you. Many people experience something similar; it doesn't make you weak. Let’s name one small, doable step you could take this week. I'm happy to check in on how it went and adjust together. Thanks for telling me: ""Yes, please continue.""",burnout symptoms,,0.4742617905139923,0.6131958961486816,0.543728843331337
10,"Okay, makes sense.","Thanks for telling me, Noah. Dealing with generalized anxiety can feel moderate but affecting me. From what you shared — “Okay, makes sense.”. Let’s focus on what feels most important right now.","Noah, thanks for sharing this with me. Given the generalized anxiety, feeling it as 'Moderate but affecting me' is completely understandable. We can try a calm breathing pattern: inhale 4, hold 4, exhale 6, repeat 5 times. We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""Okay, makes sense.""",generalized anxiety,,0.7709506154060364,0.7641888856887817,0.7675697505474091
11,I can try that.,"I’m here with you, Milan. Dealing with overthinking at night can feel mild and manageable. From what you shared — “I can try that.”. We can take this one small step at a time.","I appreciate your honesty, Milan. It's a lot to carry—acknowledging it is already a strong first step. Would you be open to a short grounding technique together (5-4-3-2-1)? We can explore what tends to trigger this and how to respond gently. Thanks for telling me: ""I can try that.""",overthinking at night,,0.37683796882629395,0.4035458266735077,0.3901918977499008
