I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system
4,2,3,2,4,3,4,3,5,2
5,1,4,1,5,1,5,2,5,2
4,2,4,2,4,1,5,2,5,3
3,1,3,1,4,1,4,3,5,2
4,2,5,3,5,3,4,3,3,1
5,2,3,2,3,1,3,1,4,2
5,2,5,1,5,2,4,3,5,1
5,1,4,1,3,2,4,1,4,2
5,2,4,1,3,2,3,3,5,2
4,2,3,3,4,3,4,3,5,2
5,2,4,3,5,1,3,3,4,3
4,3,3,2,5,1,4,3,5,1
5,1,5,3,3,2,3,2,4,1
5,2,4,1,5,1,3,1,5,1
4,1,4,3,4,2,3,1,5,1
4,2,5,2,3,1,4,2,4,1
5,2,4,1,4,2,4,1,4,2
3,3,5,1,3,2,3,2,4,1
5,2,4,3,5,2,4,2,4,3
5,2,5,3,5,2,4,1,5,1
4,2,3,1,4,3,5,3,5,1
4,2,4,2,4,1,4,1,4,2
4,2,5,1,5,3,5,1,4,2
5,3,3,1,4,1,4,3,3,2
5,3,5,2,4,2,5,2,5,3
3,2,3,1,3,3,3,2,5,2
3,3,3,2,5,2,4,1,4,3
3,2,4,2,3,2,5,2,5,1
3,3,4,2,5,3,3,2,4,2
3,2,4,2,4,3,4,2,3,1
